tradeDate,filedDate,ticker,company,sector,side,amountMin,amountMax,description,matchRatio,rowNumber,sourceFile
2026-04-15,2026-07-01,CVS,CVS Health Corporation,Healthcare,BUY,15001,50000,CVS HEALTH CORP,1.0,451,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CVS,CVS Health Corporation,Healthcare,BUY,50001,100000,CVS HEALTH CORP,1.0,452,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CVS,CVS Health Corporation,Healthcare,BUY,100001,250000,CVS HEALTH CORPORATION,1.0,453,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,DHR,Danaher,Healthcare,SELL,1001,15000,DANAHER CORP,1.0,456,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,DHR,Danaher,Healthcare,SELL,1001,15000,DANAHER CORP,1.0,457,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,DRI,"Darden Restaurants, Inc.",Consumer Discretionary,SELL,15001,50000,DARDEN RESTAURANTS INC,1.0,461,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,DDOG,Datadog,Technology,SELL,100001,250000,DATADOGINC,1.0,462,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,DE,Deere & Co,Industrials,SELL,15001,50000,DEERE&CO,1.0,464,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,DELL,Dell Technologies,Technology,SELL,50001,100000,DELL lECHNOLOGIES INC CL C,0.955,465,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,DAL,Delta Air Lines,Industrials,SELL,1001,15000,DELTA AIR LINES INC,0.914,466,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,DAL,Delta Air Lines,Industrials,BUY,15001,50000,DELTA AIR LINES INC DELA NEW,0.905,467,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,DXCM,DexCom,Healthcare,SELL,1001,15000,DEXCOMINC,1.0,469,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,FANG,"Diamondback Energy, Inc.",Energy,SELL,1001,15000,DIAMONDBACK ENERGY INC,1.0,475,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,DLR,Digital Realty Trust,Real Estate,SELL,50001,100000,DIGITAL REALTY lRUST INC REIT,0.87,478,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,DIS,Walt Disney,Communication Services,SELL,1001,15000,DISNEY WALT CO,1.0,480,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-20,2026-07-01,DOCU,"DocuSign, Inc.",Technology,BUY,50001,100000,DOCUSIGN INC,1.0,482,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,DLTR,Dollar Tree,Consumer Discretionary,BUY,1001,15000,DOLLAR lREE INC ..,0.923,484,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,D,"Dominion Energy, Inc.",Utilities,BUY,1001,15000,DOMINION ENERGY INC,1.0,487,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,D,"Dominion Energy, Inc.",Utilities,SELL,1001,15000,DOMINION ENERGY INC,1.0,488,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,DASH,DoorDash,Consumer Discretionary,BUY,1001,15000,Doordash Inc Cl A,0.88,491,Donald-J-Trump-06.25.2026-278T.pdf
